YEAR,MONTH,STATE,Total
2001,1,AK,590145
2001,1,AL,11326642
2001,1,AR,3903323
2001,1,AZ,7573925
2001,1,CA,16618887
2001,1,CO,4163453
2001,1,CT,2930434
2001,1,DC,9251
2001,1,DE,626139
2001,1,FL,16937281
2001,1,GA,11084082
2001,1,HI,924573
2001,1,IA,3761273
2001,1,ID,605338
2001,1,IL,16039369
2001,1,IN,10947422
2001,1,KS,4108052
2001,1,KY,8118236
2001,1,LA,7595003
2001,1,MA,3801943
2001,1,MD,4602543
2001,1,ME,1648488
2001,1,MI,10182660
2001,1,MN,4332835
2001,1,MO,7119915
2001,1,MS,3563612
2001,1,MT,2300794
2001,1,NC,10511795
2001,1,ND,2750739
2001,1,NE,2898716
2001,1,NH,652365
2001,1,NJ,5305915
2001,1,NM,2919113
2001,1,NV,2965823
2001,1,NY,12622133
2001,1,OH,13162516
2001,1,OK,4490790
2001,1,OR,4150338
2001,1,PA,18863626
2001,1,RI,423873
2001,1,SC,7645817
2001,1,SD,628372
2001,1,TN,9106237
2001,1,TX,31001280
2001,1,US-TOTAL,332493160
2001,1,UT,2957243
2001,1,VA,7117068
2001,1,VT,548206
2001,1,WA,8318002
2001,1,WI,5363511
2001,1,WV,8653387
2001,1,WY,4020680
2001,2,AK,546167
2001,2,AL,9576039
2001,2,AR,3372020
2001,2,AZ,6616639
2001,2,CA,14380392
2001,2,CO,3777266
2001,2,CT,1852626
2001,2,DC,0
2001,2,DE,521099
2001,2,FL,12761418
2001,2,GA,8331590
2001,2,HI,800847
2001,2,IA,3243662
2001,2,ID,503368
2001,2,IL,13913663
2001,2,IN,9660651
2001,2,KS,3273967
2001,2,KY,7533754
2001,2,LA,6105164
2001,2,MA,3145754
2001,2,MD,4182074
2001,2,ME,1462646
2001,2,MI,8870735
2001,2,MN,3840229
2001,2,MO,6215930
2001,2,MS,2743202
2001,2,MT,2105062
2001,2,NC,8862021
2001,2,ND,2513628
2001,2,NE,2424581
2001,2,NH,1280183
2001,2,NJ,4705993
2001,2,NM,2713390
2001,2,NV,2968734
2001,2,NY,11459532
2001,2,OH,11161698
2001,2,OK,4032517
2001,2,OR,3717815
2001,2,PA,15053400
2001,2,RI,443519
2001,2,SC,6638018
2001,2,SD,571928
2001,2,TN,7453653
2001,2,TX,25626521
2001,2,US-TOTAL,282940198
2001,2,UT,2795819
2001,2,VA,5894142
2001,2,VT,477588
2001,2,WA,7088155
2001,2,WI,4593527
2001,2,WV,7380732
2001,2,WY,3747141
2001,3,AK,587115
2001,3,AL,9364445
2001,3,AR,3125261
2001,3,AZ,7325900
2001,3,CA,15848633
2001,3,CO,3841540
2001,3,CT,2386253
2001,3,DC,0
2001,3,DE,866773
2001,3,FL,14114923
2001,3,GA,9844453
2001,3,HI,873314
2001,3,IA,3576369
2001,3,ID,595208
2001,3,IL,14882220
2001,3,IN,9950720
2001,3,KS,3339534
2001,3,KY,8201581
2001,3,LA,6320906
2001,3,MA,3596645
2001,3,MD,3597128
2001,3,ME,1503442
2001,3,MI,9681003
2001,3,MN,3662516
2001,3,MO,5891090
2001,3,MS,3642720
2001,3,MT,1920857
2001,3,NC,9303299
2001,3,ND,2690409
2001,3,NE,2249603
2001,3,NH,958477
2001,3,NJ,4946760
2001,3,NM,2617299
2001,3,NV,3040196
2001,3,NY,12114668
2001,3,OH,12107819
2001,3,OK,3807719
2001,3,OR,4208538
2001,3,PA,16841128
2001,3,RI,589502
2001,3,SC,7385446
2001,3,SD,601320
2001,3,TN,8193004
2001,3,TX,27580339
2001,3,US-TOTAL,300706544
2001,3,UT,2435341
2001,3,VA,6358233
2001,3,VT,471650
2001,3,WA,7775825
2001,3,WI,4755366
2001,3,WV,7040685
2001,3,WY,4093370
2001,4,AK,488698
2001,4,AL,7714348
2001,4,AR,3349774
2001,4,AZ,7159997
2001,4,CA,15841018
2001,4,CO,3692812
2001,4,CT,2280079
2001,4,DC,766
2001,4,DE,577017
2001,4,FL,14808706
2001,4,GA,9245326
2001,4,HI,835878
2001,4,IA,2916301
2001,4,ID,621878
2001,4,IL,13320173
2001,4,IN,8633796
2001,4,KS,3246097
2001,4,KY,7125446
2001,4,LA,6926936
2001,4,MA,2404166
2001,4,MD,3309853
2001,4,ME,1297956
2001,4,MI,8255739
2001,4,MN,3666583
2001,4,MO,5096669
2001,4,MS,3559358
2001,4,MT,1546183
2001,4,NC,9075057
2001,4,ND,2314330
2001,4,NE,2084250
2001,4,NH,1420718
2001,4,NJ,4012599
2001,4,NM,2319587
2001,4,NV,2040506
2001,4,NY,10733680
2001,4,OH,11177301
2001,4,OK,3611899
2001,4,OR,3784434
2001,4,PA,14727884
2001,4,RI,450800
2001,4,SC,6371638
2001,4,SD,446861
2001,4,TN,8078386
2001,4,TX,27486315
2001,4,US-TOTAL,278078871
2001,4,UT,2677520
2001,4,VA,6108458
2001,4,VT,467178
2001,4,WA,6416576
2001,4,WI,4564247
2001,4,WV,6327911
2001,4,WY,3459181
2001,5,AK,484687
