Year,Month,State,industrial_usage
2001,1,CT,361
2001,2,CT,494
2001,3,CT,430
2001,4,CT,398
2001,5,CT,520
2001,6,CT,579
2001,7,CT,429
2001,8,CT,525
2001,9,CT,449
2001,10,CT,506
2001,11,CT,440
2001,12,CT,442
2002,1,CT,389
2002,2,CT,421
2002,3,CT,450
2002,4,CT,438
2002,5,CT,465
2002,6,CT,467
2002,7,CT,489
2002,8,CT,500
2002,9,CT,445
2002,10,CT,463
2002,11,CT,444
2002,12,CT,399
2003,1,CT,461
2003,2,CT,389
2003,3,CT,430
2003,4,CT,409
2003,5,CT,440
2003,6,CT,488
2003,7,CT,474
2003,8,CT,500
2003,9,CT,505
2003,10,CT,470
2003,11,CT,413
2003,12,CT,387
2004,1,CT,434
2004,2,CT,435
2004,3,CT,444
2004,4,CT,423
2004,5,CT,451
2004,6,CT,443
2004,7,CT,543
2004,8,CT,485
2004,9,CT,429
2004,10,CT,464
2004,11,CT,372
2004,12,CT,436
2005,1,CT,412
2005,2,CT,368
2005,3,CT,433
2005,4,CT,411
2005,5,CT,427
2005,6,CT,449
2005,7,CT,460
2005,8,CT,468
2005,9,CT,460
2005,10,CT,452
2005,11,CT,412
2005,12,CT,401
2006,1,CT,388
2006,2,CT,389
2006,3,CT,411
2006,4,CT,384
2006,5,CT,430
2006,6,CT,471
2006,7,CT,450
2006,8,CT,419
2006,9,CT,409
2006,10,CT,410
2006,11,CT,380
2006,12,CT,386
2007,1,CT,382
2007,2,CT,406
2007,3,CT,428
2007,4,CT,430
2007,5,CT,479
2007,6,CT,510
2007,7,CT,442
2007,8,CT,548
2007,9,CT,444
2007,10,CT,482
2007,11,CT,446
2007,12,CT,437
2008,1,CT,274
2008,2,CT,380
2008,3,CT,388
2008,4,CT,384
2008,5,CT,341
2008,6,CT,361
2008,7,CT,353
2008,8,CT,415
2008,9,CT,429
2008,10,CT,386
2008,11,CT,359
2008,12,CT,302
2009,1,CT,327
2009,2,CT,307
2009,3,CT,294
2009,4,CT,291
2009,5,CT,319
2009,6,CT,281
2009,7,CT,343
2009,8,CT,327
2009,9,CT,320
2009,10,CT,310
2009,11,CT,285
2009,12,CT,288
2010,1,CT,293
2010,2,CT,277
2010,3,CT,304
2010,4,CT,300
2010,5,CT,290
2010,6,CT,335
2010,7,CT,314
2010,8,CT,373
2010,9,CT,350
2010,10,CT,312
2010,11,CT,286
2010,12,CT,280
2011,1,CT,272
2011,2,CT,279
2011,3,CT,299
2011,4,CT,278
2011,5,CT,341
2011,6,CT,318
2011,7,CT,344
2011,8,CT,357
2011,9,CT,318
2011,10,CT,278
2011,11,CT,304
2011,12,CT,280
2012,1,CT,280
2012,2,CT,279
2012,3,CT,279
2012,4,CT,287
2012,5,CT,299
2012,6,CT,314
2012,7,CT,331
2012,8,CT,363
2012,9,CT,305
2012,10,CT,276
2012,11,CT,282
2012,12,CT,271
2013,1,CT,271
2013,2,CT,272
2013,3,CT,264
2013,4,CT,298
2013,5,CT,291
2013,6,CT,300
2013,7,CT,330
2013,8,CT,332
2013,9,CT,302
2013,10,CT,290
2013,11,CT,258
2013,12,CT,282
2014,1,CT,276
2014,2,CT,280
2014,3,CT,274
2014,4,CT,283
2014,5,CT,288
2014,6,CT,305
2014,7,CT,299
2014,8,CT,341
2014,9,CT,311
2014,10,CT,284
2014,11,CT,282
2014,12,CT,293
2015,1,CT,272
2015,2,CT,269
2015,3,CT,280
2015,4,CT,278
2015,5,CT,245
2015,6,CT,318
2015,7,CT,313
2015,8,CT,319
2015,9,CT,305
2015,10,CT,301
2015,11,CT,263
2015,12,CT,272
2016,1,CT,271
2016,2,CT,259
2016,3,CT,270
2016,4,CT,274
2016,5,CT,268
2016,6,CT,295
2016,7,CT,299
2016,8,CT,325
2016,9,CT,305
2016,10,CT,268
2016,11,CT,275
2016,12,CT,263
2017,1,CT,255
2017,2,CT,249
2017,3,CT,253
2017,4,CT,259
2017,5,CT,257
2017,6,CT,289
2017,7,CT,284
2017,8,CT,313
2017,9,CT,284
2017,10,CT,273
2017,11,CT,276
2017,12,CT,251
2018,1,CT,232
2018,2,CT,265
2018,3,CT,256
2018,4,CT,248
2018,5,CT,331
2018,6,CT,224
2018,7,CT,281
2018,8,CT,308
2018,9,CT,276
2018,10,CT,280
2018,11,CT,264
2018,12,CT,246
2019,1,CT,249
2019,2,CT,231
2019,3,CT,248
2019,4,CT,232
2019,5,CT,248
2019,6,CT,238
2019,7,CT,280
2019,8,CT,258
2019,9,CT,249
2019,10,CT,247
2019,11,CT,245
2019,12,CT,205
2020,1,CT,249
2020,2,CT,220
2020,3,CT,220
2020,4,CT,214
2001,1,ME,274
2001,2,ME,316
2001,3,ME,284
2001,4,ME,333
2001,5,ME,396
2001,6,ME,366
2001,7,ME,381
2001,8,ME,433
2001,9,ME,396
