Year,Month,State,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,1,AK,88763,7.05,89.0,2001.1
2001,1,AL,2515146,3.94,2515.0,2001.1
2001,1,AR,1330883,4.19,1331.0,2001.1
2001,1,AZ,921865,4.64,922.0,2001.1
2001,1,CA,5815771,5.75,5816.0,2001.1
2001,1,CO,893356,4.19,893.0,2001.1
2001,1,CT,360794,8.09,361.0,2001.1
2001,1,DC,21059,4.27,21.0,2001.1
2001,1,DE,330858,3.69,331.0,2001.1
2001,1,FL,1682919,5.12,1683.0,2001.1
2001,1,GA,2786527,4.1,2787.0,2001.1
2001,1,HI,317154,12.05,317.0,2001.1
2001,1,IA,1305229,3.75,1305.0,2001.1
2001,1,ID,671139,3.52,671.0,2001.1
2001,1,IL,3489342,4.03,3489.0,2001.1
2001,1,IN,3488795,3.97,3489.0,2001.1
2001,1,KS,840319,4.5,840.0,2001.1
2001,1,KY,3071360,2.91,3071.0,2001.1
2001,1,LA,2469799,6.21,2470.0,2001.1
2001,1,MA,753553,9.32,754.0,2001.1
2001,1,MD,808878,4.47,809.0,2001.1
2001,1,ME,273947,9.54,274.0,2001.1
2001,1,MI,2685538,5.19,2686.0,2001.1
2001,1,MN,1269957,4.32,1270.0,2001.1
2001,1,MO,1418499,3.99,1418.0,2001.1
2001,1,MS,1229917,4.39,1230.0,2001.1
2001,1,MT,363362,3.4,363.0,2001.1
2001,1,NC,2694498,4.39,2694.0,2001.1
2001,1,ND,230707,3.86,231.0,2001.1
2001,1,NE,563310,3.69,563.0,2001.1
2001,1,NH,203595,9.48,204.0,2001.1
2001,1,NJ,1062332,8.27,1062.0,2001.1
2001,1,NM,479973,5.93,480.0,2001.1
2001,1,NV,835018,4.95,835.0,2001.1
2001,1,NY,2041395,5.5,2041.0,2001.1
2001,1,OH,5543155,4.21,5543.0,2001.1
2001,1,OK,996765,4.75,997.0,2001.1
2001,1,OR,1314645,3.98,1315.0,2001.1
2001,1,PA,3792552,5.93,3793.0,2001.1
2001,1,RI,110364,9.18,110.0,2001.1
2001,1,SC,2509110,4.04,2509.0,2001.1
2001,1,SD,119682,4.31,120.0,2001.1
2001,1,TN,2937156,4.29,2937.0,2001.1
2001,1,TX,7969005,5.12,7969.0,2001.1
2001,1,UT,723170,3.31,723.0,2001.1
2001,1,VA,1622870,4.23,1623.0,2001.1
2001,1,VT,140858,8.24,141.0,2001.1
2001,1,WA,2688589,4.46,2689.0,2001.1
2001,1,WI,2083560,4.22,2084.0,2001.1
2001,1,WV,1008018,3.58,1008.0,2001.1
2001,1,WY,602305,3.26,602.0,2001.1
2001,2,AK,88517,7.23,89.0,2001.2
2001,2,AL,2532080,3.56,2532.0,2001.2
2001,2,AR,1370833,4.05,1371.0,2001.2
2001,2,AZ,851259,5.02,851.0,2001.2
2001,2,CA,4715793,7.7,4716.0,2001.2
2001,2,CO,846077,4.22,846.0,2001.2
2001,2,CT,494465,7.25,494.0,2001.2
2001,2,DC,19564,4.35,20.0,2001.2
2001,2,DE,403217,2.88,403.0,2001.2
2001,2,FL,1583976,5.01,1584.0,2001.2
2001,2,GA,2670922,4.19,2671.0,2001.2
2001,2,HI,282542,12.01,283.0,2001.2
2001,2,IA,1272062,3.83,1272.0,2001.2
2001,2,ID,578848,3.46,579.0,2001.2
2001,2,IL,3899633,3.9,3900.0,2001.2
2001,2,IN,3510759,3.84,3511.0,2001.2
2001,2,KS,813815,4.43,814.0,2001.2
2001,2,KY,3040311,2.97,3040.0,2001.2
2001,2,LA,2456886,6.93,2457.0,2001.2
2001,2,MA,812019,8.67,812.0,2001.2
2001,2,MD,759491,4.29,759.0,2001.2
2001,2,ME,315904,9.59,316.0,2001.2
2001,2,MI,2799648,5.03,2800.0,2001.2
2001,2,MN,1523269,4.57,1523.0,2001.2
2001,2,MO,1187537,3.89,1188.0,2001.2
2001,2,MS,1187462,4.2,1187.0,2001.2
2001,2,MT,289229,9.32,289.0,2001.2
2001,2,NC,2422950,4.6,2423.0,2001.2
2001,2,ND,212484,4.15,212.0,2001.2
2001,2,NE,570911,3.74,571.0,2001.2
2001,2,NH,219446,8.99,219.0,2001.2
2001,2,NJ,996947,8.11,997.0,2001.2
2001,2,NM,444128,6.06,444.0,2001.2
2001,2,NV,781428,4.85,781.0,2001.2
2001,2,NY,2331436,5.72,2331.0,2001.2
2001,2,OH,5893529,4.19,5894.0,2001.2
2001,2,OK,1022853,4.83,1023.0,2001.2
2001,2,OR,1298420,3.7,1298.0,2001.2
2001,2,PA,4247326,5.21,4247.0,2001.2
2001,2,RI,104670,9.26,105.0,2001.2
2001,2,SC,2585777,3.88,2586.0,2001.2
2001,2,SD,122473,4.49,122.0,2001.2
2001,2,TN,2637201,3.8,2637.0,2001.2
2001,2,TX,8042376,5.11,8042.0,2001.2
2001,2,UT,591020,3.51,591.0,2001.2
2001,2,VA,1511776,4.09,1512.0,2001.2
2001,2,VT,132002,8.35,132.0,2001.2
2001,2,WA,2270103,4.19,2270.0,2001.2
2001,2,WI,1969902,4.32,1970.0,2001.2
2001,2,WV,874898,3.48,875.0,2001.2
2001,2,WY,658056,3.48,658.0,2001.2
2001,3,AK,79925,8.58,80.0,2001.3
2001,3,AL,2510930,4.03,2511.0,2001.3
2001,3,AR,1282561,4.17,1283.0,2001.3
2001,3,AZ,927766,4.95,928.0,2001.3
2001,3,CA,5914543,7.7,5915.0,2001.3
2001,3,CO,880315,4.24,880.0,2001.3
2001,3,CT,430486,7.53,430.0,2001.3
2001,3,DC,23974,4.22,24.0,2001.3
2001,3,DE,311499,4.46,311.0,2001.3
2001,3,FL,1702166,5.03,1702.0,2001.3
2001,3,GA,2886212,3.95,2886.0,2001.3
2001,3,HI,311888,11.83,312.0,2001.3
2001,3,IA,1263882,3.9,1264.0,2001.3
2001,3,ID,584353,3.2,584.0,2001.3
2001,3,IL,3299860,4.3,3300.0,2001.3
2001,3,IN,3468745,3.97,3469.0,2001.3
2001,3,KS,850483,4.55,850.0,2001.3
2001,3,KY,3556819,2.81,3557.0,2001.3
2001,3,LA,2379280,7.36,2379.0,2001.3
2001,3,MA,797515,9.23,798.0,2001.3
2001,3,MD,887770,4.33,888.0,2001.3
2001,3,ME,283561,8.85,284.0,2001.3
2001,3,MI,2908726,5.1,2909.0,2001.3
2001,3,MN,1640098,4.2,1640.0,2001.3
2001,3,MO,1258099,3.95,1258.0,2001.3
2001,3,MS,1227458,4.22,1227.0,2001.3
2001,3,MT,295618,8.09,296.0,2001.3
2001,3,NC,2734456,4.39,2734.0,2001.3
2001,3,ND,211682,3.86,212.0,2001.3
2001,3,NE,572594,3.53,573.0,2001.3
2001,3,NH,205287,9.54,205.0,2001.3
2001,3,NJ,1043293,8.23,1043.0,2001.3
2001,3,NM,463524,5.76,464.0,2001.3
2001,3,NV,859028,6.06,859.0,2001.3
2001,3,NY,2128752,5.36,2129.0,2001.3
2001,3,OH,5900567,4.05,5901.0,2001.3
2001,3,OK,1008017,4.13,1008.0,2001.3
2001,3,OR,1198311,4.05,1198.0,2001.3
2001,3,PA,3971608,5.47,3972.0,2001.3
2001,3,RI,121802,10.04,122.0,2001.3
2001,3,SC,2600135,3.77,2600.0,2001.3
2001,3,SD,121692,4.34,122.0,2001.3
2001,3,TN,2593505,3.72,2594.0,2001.3
2001,3,TX,7947384,5.1,7947.0,2001.3
2001,3,UT,641950,3.09,642.0,2001.3
2001,3,VA,1640224,4.07,1640.0,2001.3
2001,3,VT,132904,7.63,133.0,2001.3
2001,3,WA,1800221,4.57,1800.0,2001.3
2001,3,WI,2112030,4.26,2112.0,2001.3
2001,3,WV,920582,3.81,921.0,2001.3
2001,3,WY,627438,3.35,627.0,2001.3
2001,4,AK,81687,7.98,82.0,2001.4
2001,4,AL,2732527,3.92,2733.0,2001.4
2001,4,AR,1309259,4.41,1309.0,2001.4
2001,4,AZ,969079,5.04,969.0,2001.4
2001,4,CA,5247342,7.58,5247.0,2001.4
2001,4,CO,882521,4.3,883.0,2001.4
2001,4,CT,398464,7.79,398.0,2001.4
2001,4,DC,22352,4.46,22.0,2001.4
2001,4,DE,317922,4.19,318.0,2001.4
2001,4,FL,1669776,5.34,1670.0,2001.4
2001,4,GA,2750017,4.28,2750.0,2001.4
2001,4,HI,303932,11.54,304.0,2001.4
2001,4,IA,1346899,4.15,1347.0,2001.4
2001,4,ID,568544,3.25,569.0,2001.4
2001,4,IL,3005147,4.28,3005.0,2001.4
2001,4,IN,3673143,3.87,3673.0,2001.4
2001,4,KS,890223,4.44,890.0,2001.4
2001,4,KY,3498690,2.88,3499.0,2001.4
2001,4,LA,2337107,6.59,2337.0,2001.4
2001,4,MA,722902,9.57,723.0,2001.4
2001,4,MD,761336,4.69,761.0,2001.4
2001,4,ME,333184,5.52,333.0,2001.4
2001,4,MI,2899148,4.97,2899.0,2001.4
2001,4,MN,1724542,3.94,1725.0,2001.4
2001,4,MO,1402788,3.99,1403.0,2001.4
2001,4,MS,1243906,4.33,1244.0,2001.4
2001,4,MT,263151,10.13,263.0,2001.4
2001,4,NC,2809279,4.37,2809.0,2001.4
2001,4,ND,222113,3.86,222.0,2001.4
2001,4,NE,569393,3.54,569.0,2001.4
2001,4,NH,203301,9.31,203.0,2001.4
2001,4,NJ,1014119,8.37,1014.0,2001.4
2001,4,NM,418063,5.31,418.0,2001.4
2001,4,NV,996916,6.13,997.0,2001.4
2001,4,NY,2052815,5.59,2053.0,2001.4
2001,4,OH,5383766,4.16,5384.0,2001.4
2001,4,OK,1029195,4.37,1029.0,2001.4
2001,4,OR,1095383,4.24,1095.0,2001.4
2001,4,PA,3706880,5.82,3707.0,2001.4
2001,4,RI,100184,10.5,100.0,2001.4
2001,4,SC,2638038,3.77,2638.0,2001.4
2001,4,SD,132302,4.35,132.0,2001.4
2001,4,TN,2686583,3.89,2687.0,2001.4
2001,4,TX,8229208,5.1,8229.0,2001.4
2001,4,UT,517957,3.85,518.0,2001.4
2001,4,VA,1631893,4.18,1632.0,2001.4
2001,4,VT,126013,7.56,126.0,2001.4
2001,4,WA,1710241,5.0,1710.0,2001.4
2001,4,WI,2006567,4.31,2007.0,2001.4
2001,4,WV,953871,3.69,954.0,2001.4
2001,4,WY,663408,3.32,663.0,2001.4
2001,5,AK,82847,7.65,83.0,2001.5
2001,5,AL,2764527,3.91,2765.0,2001.5
2001,5,AR,1349419,4.63,1349.0,2001.5
2001,5,AZ,1004996,5.69,1005.0,2001.5
2001,5,CA,5525844,8.05,5526.0,2001.5
2001,5,CO,943467,4.72,943.0,2001.5
2001,5,CT,520122,7.5,520.0,2001.5
2001,5,DC,22792,4.15,23.0,2001.5
2001,5,DE,299760,5.04,300.0,2001.5
2001,5,FL,1714722,5.17,1715.0,2001.5
2001,5,GA,3040936,4.08,3041.0,2001.5
2001,5,HI,322265,11.41,322.0,2001.5
2001,5,IA,1419266,4.36,1419.0,2001.5
2001,5,ID,600773,3.91,601.0,2001.5
2001,5,IL,3500065,4.6,3500.0,2001.5
2001,5,IN,3644168,4.07,3644.0,2001.5
2001,5,KS,949800,4.57,950.0,2001.5
2001,5,KY,3159686,3.06,3160.0,2001.5
2001,5,LA,2512420,6.08,2512.0,2001.5
2001,5,MA,838580,9.34,839.0,2001.5
2001,5,MD,917221,4.04,917.0,2001.5
2001,5,ME,395913,5.96,396.0,2001.5
2001,5,MI,3039829,4.95,3040.0,2001.5
2001,5,MN,1837864,4.11,1838.0,2001.5
2001,5,MO,1339145,4.69,1339.0,2001.5
2001,5,MS,1305826,4.61,1306.0,2001.5
2001,5,MT,254439,9.19,254.0,2001.5
2001,5,NC,2814468,4.37,2814.0,2001.5
2001,5,ND,223717,3.94,224.0,2001.5
2001,5,NE,612489,3.6,612.0,2001.5
2001,5,NH,218950,8.96,219.0,2001.5
2001,5,NJ,1064273,8.34,1064.0,2001.5
2001,5,NM,457471,5.6,457.0,2001.5
2001,5,NV,1021877,6.28,1022.0,2001.5
2001,5,NY,2111628,5.45,2112.0,2001.5
2001,5,OH,5419586,4.6,5420.0,2001.5
2001,5,OK,1178458,4.89,1178.0,2001.5
2001,5,OR,1249267,3.93,1249.0,2001.5
2001,5,PA,4004392,5.63,4004.0,2001.5
2001,5,RI,127386,9.6,127.0,2001.5
2001,5,SC,2720846,3.6,2721.0,2001.5
2001,5,SD,136290,4.48,136.0,2001.5
2001,5,TN,2769336,4.01,2769.0,2001.5
2001,5,TX,8556487,5.38,8556.0,2001.5
2001,5,UT,642064,3.67,642.0,2001.5
2001,5,VA,1643304,4.18,1643.0,2001.5
2001,5,VT,133849,7.57,134.0,2001.5
2001,5,WA,1911008,4.46,1911.0,2001.5
2001,5,WI,2201844,4.32,2202.0,2001.5
2001,5,WV,941008,3.74,941.0,2001.5
2001,5,WY,629893,3.39,630.0,2001.5
