YEAR,MONTH,STATE,Coal,Geothermal,Hydroelectric Conventional,Natural Gas,Nuclear,Other,Other Biomass,Other Gases,Petroleum,Pumped Storage,Solar Thermal and Photovoltaic,Total,Wind,Wood and Wood Derived Fuels,Country
2001,1,AK,46903,0,104549,367521,0,0,0,0,71085,0,0,590145,87,0,US
2001,1,AL,6557913,0,727118,566478,2940300,885,1694,25283,107497,0,0,11326642,0,399474,US
2001,1,AR,2149808,0,272026,191970,1028544,56,553,0,124389,0,0,3903323,0,135977,US
2001,1,AZ,3418454,0,607969,651812,2733255,0,453,0,143626,18356,0,7573925,0,0,US
2001,1,CA,199857,1085733,1590096,10192494,2379998,18027,178497,97569,459703,-36255,6500,16618887,133423,313245,US
2001,1,CO,3245939,0,111346,785000,0,0,5160,0,20510,-8660,0,4163453,4158,0,US
2001,1,CT,327541,0,37537,125845,1366126,74561,74757,137,923930,0,0,2930434,0,0,US
2001,1,DC,0,0,0,0,0,0,0,0,9251,0,0,9251,0,0,US
2001,1,DE,474117,0,0,7062,0,0,0,12552,132408,0,0,626139,0,0,US
2001,1,FL,6721861,0,7830,2203652,2942999,229849,170974,9,4496351,0,0,16937281,0,163756,US
2001,1,GA,7258909,0,239920,77667,3064367,615,2206,0,217585,-35515,0,11084082,0,258328,US
2001,1,HI,134161,21137,6613,0,0,11919,21098,3980,725556,0,0,924573,109,0,US
2001,1,IA,3230308,0,66640,23761,382045,561,8997,0,5328,0,0,3761273,43633,0,US
2001,1,ID,4716,0,526211,20201,0,9793,0,0,926,0,0,605338,0,43491,US
2001,1,IL,7539572,0,12599,137681,8237539,7665,59136,28111,17066,0,0,16039369,0,0,US
2001,1,IN,10474896,0,51662,156226,0,1245,8617,208592,46184,0,0,10947422,0,0,US
2001,1,KS,3054603,0,0,63439,888118,0,0,0,101892,0,0,4108052,0,0,US
2001,1,KY,7894331,0,193594,22234,0,0,0,0,7214,0,0,8118236,0,863,US
2001,1,LA,2127592,0,6457,2775763,1539420,82856,6582,34910,801829,0,0,7595003,0,219594,US
2001,1,MA,1125766,0,105826,626005,491137,63860,99838,0,1328693,-51955,0,3801943,0,12773,US
2001,1,MD,2744346,0,71864,54407,1293872,16988,25585,28603,365825,0,0,4602543,0,1054,US
2001,1,ME,54403,0,261001,504401,0,35926,21247,0,444656,0,0,1648488,0,326854,US
2001,1,MI,6259013,0,122772,801125,2824251,13039,49848,0,66886,-99410,0,10182660,0,145136,US
2001,1,MN,2894901,0,61161,64566,1059132,22164,41860,0,53344,0,0,4332835,86227,49480,US
2001,1,MO,6138552,0,31124,42735,864162,5488,866,0,55918,-18931,0,7119915,0,0,US
2001,1,MS,1581792,0,0,264712,946566,67,0,0,655837,0,0,3563612,0,114638,US
2001,1,MT,1584887,0,668675,1562,0,0,0,0,40558,0,0,2300794,0,5112,US
2001,1,NC,6622628,0,146363,27036,3417845,28001,21130,55,112577,0,0,10511795,0,136160,US
2001,1,ND,2585304,0,156620,178,0,0,643,3719,4275,0,0,2750739,0,0,US
2001,1,NE,1871573,0,81350,5096,935874,0,1574,0,3021,0,0,2898716,228,0,US
2001,1,NH,382524,0,117021,7972,41921,5262,15776,0,6498,0,0,652365,0,75391,US
2001,1,NJ,1190063,0,1591,877690,2849594,34683,66089,40896,258178,-12869,0,5305915,0,0,US
2001,1,NM,2626719,0,12432,265444,0,0,1561,0,12957,0,0,2919113,0,0,US
2001,1,NV,1425411,108739,211345,1134772,0,0,0,0,85556,0,0,2965823,0,0,US
2001,1,NY,2453303,0,2017382,1899517,3333411,62026,99897,6580,2756448,-60817,0,12622133,1516,52870,US
2001,1,OH,11492713,0,48026,34056,1482026,0,2559,23431,40488,0,0,13162516,0,39217,US
2001,1,OK,3161698,0,209476,968819,0,0,0,4474,135320,-8643,0,4490790,0,19646,US
2001,1,OR,389103,0,2804729,845963,0,2980,3951,0,56160,0,0,4150338,3211,44241,US
2001,1,PA,10889141,0,184750,103472,6856605,67903,107152,42110,588230,-19317,0,18863626,1084,42496,US
2001,1,RI,0,0,177,395294,0,0,9702,0,18700,0,0,423873,0,0,US
2001,1,SC,3620493,0,101684,41717,3768823,2043,2383,175,58263,-62275,0,7645817,0,112511,US
2001,1,SD,326204,0,274146,4683,0,0,0,0,23339,0,0,628372,0,0,US
2001,1,TN,5899864,0,445056,17145,2581022,462,2846,1063,139093,-52109,0,9106237,0,71795,US
2001,1,TX,11683911,0,138093,13750546,3545310,132652,8587,146044,1428770,0,0,31001280,83931,83435,US
2001,1,US-TOTAL,177287111,1229325,18852048,42388663,68707077,991669,1208647,718442,18111843,-588626,6500,332493160,389250,3191212,US
2001,1,UT,2768620,13716,39808,130380,0,388,514,0,3817,0,0,2957243,0,0,US
2001,1,VA,3547017,0,73369,235306,2555570,32721,51226,0,652348,-140226,0,7117068,0,109737,US
2001,1,VT,0,0,96687,2700,391996,0,0,0,14714,0,0,548206,1377,40732,US
2001,1,WA,830616,0,5545110,754367,842334,4204,10809,0,226974,0,0,8318002,0,103588,US
2001,1,WI,3859037,0,139435,89116,1122915,15011,23221,0,40676,0,0,5363511,4482,69618,US
2001,1,WV,8533579,0,79034,11016,0,797,1057,9408,18496,0,0,8653387,0,0,US
2001,1,WY,3882449,0,43775,58059,0,6974,0,741,2898,0,0,4020680,25784,0,US
2001,2,AK,54056,0,90111,334016,0,0,0,0,67910,0,0,546167,74,0,US
2001,2,AL,5479455,0,922210,276610,2515933,583,1369,14084,35394,0,0,9576039,0,330401,US
2001,2,AR,1625228,0,287399,59236,1214538,24,692,0,59710,0,0,3372020,0,125193,US
2001,2,AZ,2912670,0,526752,920459,2186021,0,469,0,54796,15472,0,6616639,0,0,US
2001,2,CA,184141,951164,1290013,8870575,2229872,17302,167870,101840,354943,-172957,12568,14380392,147624,225437,US
2001,2,CO,2881716,0,86630,798303,0,0,5291,0,23430,-20545,0,3777266,2441,0,US
2001,2,CT,354781,0,33260,211055,620610,70847,76715,150,485208,0,0,1852626,0,0,US
2001,2,DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,US
2001,2,DE,426947,0,0,20295,0,0,0,11235,62622,0,0,521099,0,0,US
2001,2,FL,5359079,0,7381,1866533,2631853,222937,158789,15,2375368,0,0,12761418,0,139463,US
2001,2,GA,4992600,0,189491,88746,2765573,603,2014,0,74072,-35921,0,8331590,0,254412,US
2001,2,HI,130576,15025,7784,0,0,11554,20547,2521,612729,0,0,800847,111,0,US
2001,2,IA,2741719,0,77023,22282,355555,564,7437,0,5977,0,0,3243662,33105,0,US
2001,2,ID,4367,0,429832,19717,0,9640,0,0,1054,0,0,503368,0,38758,US
2001,2,IL,6267815,0,11020,260449,7216833,3167,48388,27066,78925,0,0,13913663,0,0,US
2001,2,IN,9145681,0,37450,224426,0,1236,8555,206746,36557,0,0,9660651,0,0,US
2001,2,KS,2337579,0,0,57811,803086,0,0,0,75491,0,0,3273967,0,0,US
2001,2,KY,7340263,0,165380,20352,0,0,0,0,6968,0,0,7533754,0,791,US
2001,2,LA,1491934,0,71522,2478315,1339650,66788,4278,33342,420216,0,0,6105164,0,199119,US
2001,2,MA,965820,0,72302,562326,449547,59341,91723,0,974872,-41846,0,3145754,0,11669,US
2001,2,MD,2478517,0,154196,60195,1168618,17804,26399,32383,243200,0,0,4182074,0,762,US
2001,2,ME,44501,0,230248,579980,0,29714,18048,0,285136,0,0,1462646,0,275019,US
2001,2,MI,5351283,0,121859,721508,2565290,10241,43218,738,12087,-81078,0,8870735,0,125588,US
2001,2,MN,2750914,0,54945,81615,730018,17942,34647,0,52366,0,0,3840229,73164,44618,US
2001,2,MO,5232077,0,116616,55234,778452,788,773,0,48040,-16050,0,6215930,0,0,US
2001,2,MS,984824,0,0,162467,827395,6,0,0,677698,0,0,2743202,0,90812,US
2001,2,MT,1466221,0,598328,1222,0,0,0,0,33515,0,0,2105062,0,5776,US
