Year,Month,State,Megawatthours,Cents/kWh
2001,1,AK,88763,7.05
2001,1,AL,2515146,3.94
2001,1,AR,1330883,4.19
2001,1,AZ,921865,4.64
2001,1,CA,5815771,5.75
2001,1,CO,893356,4.19
2001,1,CT,360794,8.09
2001,1,DC,21059,4.27
2001,1,DE,330858,3.69
2001,1,FL,1682919,5.12
2001,1,GA,2786527,4.1
2001,1,HI,317154,12.05
2001,1,IA,1305229,3.75
2001,1,ID,671139,3.52
2001,1,IL,3489342,4.03
2001,1,IN,3488795,3.97
2001,1,KS,840319,4.5
2001,1,KY,3071360,2.91
2001,1,LA,2469799,6.21
2001,1,MA,753553,9.32
2001,1,MD,808878,4.47
2001,1,ME,273947,9.54
2001,1,MI,2685538,5.19
2001,1,MN,1269957,4.32
2001,1,MO,1418499,3.99
2001,1,MS,1229917,4.39
2001,1,MT,363362,3.4
2001,1,NC,2694498,4.39
2001,1,ND,230707,3.86
2001,1,NE,563310,3.69
2001,1,NH,203595,9.48
2001,1,NJ,1062332,8.27
2001,1,NM,479973,5.93
2001,1,NV,835018,4.95
2001,1,NY,2041395,5.5
2001,1,OH,5543155,4.21
2001,1,OK,996765,4.75
2001,1,OR,1314645,3.98
2001,1,PA,3792552,5.93
2001,1,RI,110364,9.18
2001,1,SC,2509110,4.04
2001,1,SD,119682,4.31
2001,1,TN,2937156,4.29
2001,1,TX,7969005,5.12
2001,1,UT,723170,3.31
2001,1,VA,1622870,4.23
2001,1,VT,140858,8.24
2001,1,WA,2688589,4.46
2001,1,WI,2083560,4.22
2001,1,WV,1008018,3.58
2001,1,WY,602305,3.26
2001,2,AK,88517,7.23
2001,2,AL,2532080,3.56
2001,2,AR,1370833,4.05
2001,2,AZ,851259,5.02
2001,2,CA,4715793,7.7
2001,2,CO,846077,4.22
2001,2,CT,494465,7.25
2001,2,DC,19564,4.35
2001,2,DE,403217,2.88
2001,2,FL,1583976,5.01
2001,2,GA,2670922,4.19
2001,2,HI,282542,12.01
2001,2,IA,1272062,3.83
2001,2,ID,578848,3.46
2001,2,IL,3899633,3.9
2001,2,IN,3510759,3.84
2001,2,KS,813815,4.43
2001,2,KY,3040311,2.97
2001,2,LA,2456886,6.93
2001,2,MA,812019,8.67
2001,2,MD,759491,4.29
2001,2,ME,315904,9.59
2001,2,MI,2799648,5.03
2001,2,MN,1523269,4.57
2001,2,MO,1187537,3.89
2001,2,MS,1187462,4.2
2001,2,MT,289229,9.32
2001,2,NC,2422950,4.6
2001,2,ND,212484,4.15
2001,2,NE,570911,3.74
2001,2,NH,219446,8.99
2001,2,NJ,996947,8.11
