,0,1,2,3
0,2001,01,CT,--
1,2001,02,CT,--
2,2001,03,CT,--
3,2001,04,CT,--
4,2001,05,CT,--
5,2001,06,CT,--
6,2001,07,CT,--
7,2001,08,CT,--
8,2001,09,CT,--
9,2001,10,CT,--
10,2001,11,CT,--
11,2001,12,CT,--
12,2002,01,CT,--
13,2002,02,CT,--
14,2002,03,CT,--
15,2002,04,CT,--
16,2002,05,CT,--
17,2002,06,CT,--
18,2002,07,CT,--
19,2002,08,CT,--
20,2002,09,CT,--
21,2002,10,CT,--
22,2002,11,CT,--
23,2002,12,CT,--
24,2003,01,CT,16
25,2003,02,CT,18
26,2003,03,CT,16
27,2003,04,CT,14
28,2003,05,CT,15
29,2003,06,CT,16
30,2003,07,CT,13
31,2003,08,CT,16
32,2003,09,CT,16
33,2003,10,CT,17
34,2003,11,CT,16
35,2003,12,CT,19
36,2004,01,CT,18
37,2004,02,CT,17
38,2004,03,CT,16
39,2004,04,CT,15
40,2004,05,CT,16
41,2004,06,CT,15
42,2004,07,CT,17
43,2004,08,CT,16
44,2004,09,CT,15
45,2004,10,CT,15
46,2004,11,CT,13
47,2004,12,CT,16
48,2005,01,CT,17
49,2005,02,CT,15
50,2005,03,CT,16
51,2005,04,CT,12
52,2005,05,CT,10
53,2005,06,CT,22
54,2005,07,CT,18
55,2005,08,CT,17
56,2005,09,CT,14
57,2005,10,CT,15
58,2005,11,CT,15
59,2005,12,CT,18
60,2006,01,CT,16
61,2006,02,CT,13
62,2006,03,CT,15
63,2006,04,CT,13
64,2006,05,CT,14
65,2006,06,CT,11
66,2006,07,CT,20
67,2006,08,CT,15
68,2006,09,CT,15
69,2006,10,CT,14
70,2006,11,CT,14
71,2006,12,CT,16
72,2007,01,CT,14
73,2007,02,CT,17
74,2007,03,CT,27
75,2007,04,CT,15
76,2007,05,CT,13
77,2007,06,CT,15
78,2007,07,CT,16
79,2007,08,CT,16
80,2007,09,CT,15
81,2007,10,CT,16
82,2007,11,CT,17
83,2007,12,CT,17
84,2008,01,CT,16
85,2008,02,CT,16
86,2008,03,CT,17
87,2008,04,CT,15
88,2008,05,CT,17
89,2008,06,CT,13
90,2008,07,CT,15
91,2008,08,CT,21
92,2008,09,CT,6
93,2008,10,CT,20
94,2008,11,CT,15
95,2008,12,CT,18
96,2009,01,CT,20
97,2009,02,CT,16
98,2009,03,CT,15
99,2009,04,CT,17
100,2009,05,CT,13
101,2009,06,CT,13
102,2009,07,CT,17
103,2009,08,CT,14
104,2009,09,CT,17
105,2009,10,CT,14
106,2009,11,CT,13
107,2009,12,CT,18
108,2010,01,CT,15
109,2010,02,CT,16
110,2010,03,CT,15
111,2010,04,CT,16
112,2010,05,CT,14
113,2010,06,CT,16
114,2010,07,CT,13
115,2010,08,CT,15
116,2010,09,CT,18
117,2010,10,CT,14
118,2010,11,CT,14
119,2010,12,CT,19
120,2011,01,CT,18
121,2011,02,CT,16
122,2011,03,CT,16
123,2011,04,CT,16
124,2011,05,CT,13
125,2011,06,CT,17
126,2011,07,CT,14
127,2011,08,CT,14
128,2011,09,CT,17
129,2011,10,CT,14
130,2011,11,CT,17
131,2011,12,CT,13
132,2012,01,CT,15
133,2012,02,CT,19
134,2012,03,CT,15
135,2012,04,CT,15
136,2012,05,CT,18
137,2012,06,CT,15
138,2012,07,CT,15
139,2012,08,CT,18
140,2012,09,CT,15
141,2012,10,CT,16
142,2012,11,CT,16
143,2012,12,CT,15
144,2013,01,CT,19
145,2013,02,CT,16
146,2013,03,CT,15
147,2013,04,CT,15
148,2013,05,CT,18
149,2013,06,CT,14
150,2013,07,CT,15
151,2013,08,CT,19
152,2013,09,CT,14
153,2013,10,CT,16
154,2013,11,CT,14
155,2013,12,CT,15
156,2014,01,CT,15
157,2014,02,CT,12
158,2014,03,CT,11
159,2014,04,CT,14
160,2014,05,CT,26
161,2014,06,CT,12
162,2014,07,CT,16
163,2014,08,CT,12
164,2014,09,CT,12
165,2014,10,CT,14
166,2014,11,CT,11
167,2014,12,CT,13
168,2015,01,CT,19
169,2015,02,CT,17
170,2015,03,CT,17
171,2015,04,CT,18
172,2015,05,CT,13
173,2015,06,CT,15
174,2015,07,CT,18
175,2015,08,CT,15
176,2015,09,CT,18
177,2015,10,CT,13
178,2015,11,CT,13
179,2015,12,CT,16
180,2016,01,CT,14
181,2016,02,CT,15
182,2016,03,CT,16
183,2016,04,CT,15
184,2016,05,CT,13
185,2016,06,CT,17
186,2016,07,CT,15
187,2016,08,CT,15
188,2016,09,CT,18
189,2016,10,CT,13
190,2016,11,CT,15
191,2016,12,CT,16
192,2017,01,CT,13
193,2017,02,CT,18
194,2017,03,CT,18
195,2017,04,CT,9
196,2017,05,CT,13
197,2017,06,CT,15
198,2017,07,CT,14
199,2017,08,CT,17
200,2017,09,CT,14
201,2017,10,CT,16
202,2017,11,CT,14
203,2017,12,CT,15
204,2018,01,CT,15
205,2018,02,CT,13
206,2018,03,CT,13
207,2018,04,CT,12
208,2018,05,CT,14
209,2018,06,CT,14
210,2018,07,CT,16
211,2018,08,CT,28
212,2018,09,CT,16
213,2018,10,CT,15
214,2018,11,CT,11
215,2018,12,CT,16
216,2019,01,CT,10
217,2019,02,CT,14
218,2019,03,CT,27
219,2019,04,CT,11
220,2019,05,CT,16
221,2019,06,CT,10
222,2019,07,CT,16
223,2019,08,CT,17
224,2019,09,CT,15
225,2019,10,CT,13
226,2019,11,CT,14
227,2019,12,CT,16
228,2020,01,CT,16
229,2020,02,CT,14
230,2020,03,CT,13
231,2020,04,CT,8
232,2001,01,ME,--
233,2001,02,ME,--
234,2001,03,ME,--
235,2001,04,ME,--
236,2001,05,ME,--
237,2001,06,ME,--
238,2001,07,ME,--
239,2001,08,ME,--
240,2001,09,ME,--
241,2001,10,ME,--
242,2001,11,ME,--
243,2001,12,ME,--
244,2002,01,ME,--
245,2002,02,ME,--
246,2002,03,ME,--
247,2002,04,ME,--
248,2002,05,ME,--
249,2002,06,ME,--
250,2002,07,ME,--
251,2002,08,ME,--
252,2002,09,ME,--
253,2002,10,ME,--
254,2002,11,ME,--
255,2002,12,ME,--
256,2003,01,ME,0
257,2003,02,ME,0
258,2003,03,ME,0
259,2003,04,ME,0
260,2003,05,ME,0
261,2003,06,ME,0
262,2003,07,ME,0
263,2003,08,ME,0
264,2003,09,ME,0
265,2003,10,ME,0
266,2003,11,ME,0
267,2003,12,ME,0
268,2004,01,ME,0
269,2004,02,ME,0
270,2004,03,ME,0
271,2004,04,ME,0
272,2004,05,ME,0
273,2004,06,ME,0
274,2004,07,ME,0
275,2004,08,ME,0
276,2004,09,ME,0
277,2004,10,ME,0
278,2004,11,ME,0
279,2004,12,ME,0
280,2005,01,ME,0
281,2005,02,ME,0
282,2005,03,ME,0
283,2005,04,ME,0
284,2005,05,ME,0
285,2005,06,ME,0
286,2005,07,ME,0
287,2005,08,ME,0
288,2005,09,ME,0
289,2005,10,ME,0
290,2005,11,ME,0
291,2005,12,ME,0
292,2006,01,ME,0
293,2006,02,ME,0
294,2006,03,ME,0
295,2006,04,ME,0
296,2006,05,ME,0
297,2006,06,ME,0
298,2006,07,ME,0
299,2006,08,ME,0
300,2006,09,ME,0
301,2006,10,ME,0
302,2006,11,ME,0
303,2006,12,ME,0
304,2007,01,ME,0
305,2007,02,ME,0
306,2007,03,ME,0
307,2007,04,ME,0
308,2007,05,ME,0
309,2007,06,ME,0
310,2007,07,ME,0
311,2007,08,ME,0
312,2007,09,ME,0
313,2007,10,ME,0
314,2007,11,ME,0
315,2007,12,ME,0
316,2008,01,ME,0
317,2008,02,ME,0
318,2008,03,ME,0
319,2008,04,ME,0
320,2008,05,ME,0
321,2008,06,ME,0
322,2008,07,ME,0
323,2008,08,ME,0
324,2008,09,ME,0
325,2008,10,ME,0
326,2008,11,ME,0
327,2008,12,ME,0
328,2009,01,ME,0
329,2009,02,ME,0
330,2009,03,ME,0
331,2009,04,ME,0
332,2009,05,ME,0
333,2009,06,ME,0
334,2009,07,ME,0
335,2009,08,ME,0
336,2009,09,ME,0
337,2009,10,ME,0
338,2009,11,ME,0
339,2009,12,ME,0
340,2010,01,ME,0
341,2010,02,ME,0
342,2010,03,ME,0
343,2010,04,ME,0
344,2010,05,ME,0
345,2010,06,ME,0
346,2010,07,ME,0
347,2010,08,ME,0
348,2010,09,ME,0
349,2010,10,ME,0
350,2010,11,ME,0
351,2010,12,ME,0
352,2011,01,ME,0
353,2011,02,ME,0
354,2011,03,ME,0
355,2011,04,ME,0
356,2011,05,ME,0
357,2011,06,ME,0
358,2011,07,ME,0
359,2011,08,ME,0
360,2011,09,ME,0
361,2011,10,ME,0
362,2011,11,ME,0
363,2011,12,ME,0
