Year,Electric,Propane,LNG,Hydrogen,Biodiesel,CNG,E85
2000,558,3268,44,,2,1217,113
2001,693,3403,44,,16,1232,154
2002,873,3431,36,7,79,1166,149
2003,830,3966,62,7,142,1035,188
2004,671,3689,58,9,176,917,200
2005,588,2995,40,14,304,787,436
2006,465,2619,37,17,459,732,762
2007,442,2371,35,32,742,721,1208
2008,430,2175,38,46,645,778,1644
2009,465,2468,36,63,679,772,1928
2010,541,2647,39,58,644,841,2142
2011,3394,2597,45,56,627,910,2442
2012,13392,2654,59,58,675,1107,2553
2013,19410,2956,81,53,757,1263,2639
2014,25602,2931,103,51,783,1495,2840
2015,30945,3594,111,39,721,1563,2990
2016,42029,3665,140,54,697,1722,3091
2017,50627,3514,131,64,702,1693,3322
2018,61067,3341,137,60,681,1659,3617
2019,78301,3178,119,61,613,1591,3777
