Year,Month,State,Thousand Dollars,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,1,AK,20214,208500,9.69,208.0,2001.1
2001,1,AL,98154,1524632,6.44,1525.0,2001.1
2001,1,AR,45411,794063,5.72,794.0,2001.1
2001,1,AZ,108838,1613827,6.74,1614.0,2001.1
2001,1,CA,720730,7765889,9.28,7766.0,2001.1
2001,1,CO,76133,1476363,5.16,1476.0,2001.1
2001,1,CT,96531,1050269,9.19,1050.0,2001.1
2001,1,DC,41142,671941,6.12,672.0,2001.1
2001,1,DE,20290,314416,6.45,314.0,2001.1
2001,1,FL,396168,5791486,6.84,5791.0,2001.1
2001,1,GA,195757,3217337,6.08,3217.0,2001.1
2001,1,HI,38169,248542,15.36,249.0,2001.1
2001,1,IA,43862,708226,6.19,708.0,2001.1
2001,1,ID,20877,480134,4.35,480.0,2001.1
2001,1,IL,214598,3692911,5.81,3693.0,2001.1
2001,1,IN,106480,2116929,5.03,2117.0,2001.1
2001,1,KS,57496,1008457,5.7,1008.0,2001.1
2001,1,KY,64654,1373031,4.71,1373.0,2001.1
2001,1,LA,117067,1437235,8.15,1437.0,2001.1
2001,1,MA,214059,2032177,10.53,2032.0,2001.1
2001,1,MD,120584,2253484,5.35,2253.0,2001.1
2001,1,ME,41901,405519,10.33,406.0,2001.1
2001,1,MI,217915,2911474,7.48,2911.0,2001.1
2001,1,MN,108757,2185513,4.98,2186.0,2001.1
2001,1,MO,112499,2176825,5.17,2177.0,2001.1
2001,1,MS,61146,892950,6.85,893.0,2001.1
2001,1,MT,20187,342457,5.89,342.0,2001.1
2001,1,NC,192784,3177569,6.07,3178.0,2001.1
2001,1,ND,15670,287462,5.45,287.0,2001.1
2001,1,NE,29360,604297,4.86,604.0,2001.1
2001,1,NH,39174,355888,11.01,356.0,2001.1
2001,1,NJ,252713,2858594,8.84,2859.0,2001.1
2001,1,NM,36561,515030,7.1,515.0,2001.1
2001,1,NV,37194,507012,7.34,507.0,2001.1
2001,1,NY,674689,5313361,12.7,5313.0,2001.1
2001,1,OH,260257,3420426,7.61,3420.0,2001.1
2001,1,OK,66060,1056010,6.26,1056.0,2001.1
2001,1,OR,66272,1334868,4.96,1335.0,2001.1
2001,1,PA,291345,3646730,7.99,3647.0,2001.1
2001,1,RI,29475,261048,11.29,261.0,2001.1
2001,1,SC,96377,1470541,6.55,1471.0,2001.1
2001,1,SD,15920,267663,5.95,268.0,2001.1
2001,1,TN,122558,1990334,6.16,1990.0,2001.1
2001,1,TX,537655,7026818,7.65,7027.0,2001.1
2001,1,UT,32434,664169,4.88,664.0,2001.1
2001,1,VA,141344,2542305,5.56,2542.0,2001.1
2001,1,VT,18952,168656,11.24,169.0,2001.1
2001,1,WA,109693,2215598,4.95,2216.0,2001.1
2001,1,WI,93901,1545635,6.08,1546.0,2001.1
2001,1,WV,34391,653587,5.26,654.0,2001.1
2001,1,WY,12680,247087,5.13,247.0,2001.1
2001,2,AK,19431,197241,9.85,197.0,2001.2
2001,2,AL,86660,1346038,6.44,1346.0,2001.2
2001,2,AR,36876,617532,5.97,618.0,2001.2
2001,2,AZ,107249,1591777,6.74,1592.0,2001.2
2001,2,CA,664519,6637413,10.01,6637.0,2001.2
2001,2,CO,73269,1335393,5.49,1335.0,2001.2
2001,2,CT,79758,913624,8.73,914.0,2001.2
2001,2,DC,40115,621924,6.45,622.0,2001.2
2001,2,DE,17424,301465,5.78,301.0,2001.2
2001,2,FL,377530,5373760,7.03,5374.0,2001.2
2001,2,GA,182763,2722151,6.71,2722.0,2001.2
2001,2,HI,35325,231344,15.27,231.0,2001.2
2001,2,IA,42025,658756,6.38,659.0,2001.2
2001,2,ID,18683,417110,4.48,417.0,2001.2
2001,2,IL,236808,3564138,6.64,3564.0,2001.2
2001,2,IN,100848,1972762,5.11,1973.0,2001.2
2001,2,KS,55114,908096,6.07,908.0,2001.2
2001,2,KY,52737,960888,5.49,961.0,2001.2
2001,2,LA,111186,1281507,8.68,1282.0,2001.2
2001,2,MA,200981,1837956,10.94,1838.0,2001.2
2001,2,MD,109367,1910547,5.72,1911.0,2001.2
2001,2,ME,37969,362865,10.46,363.0,2001.2
2001,2,MI,195251,2538664,7.69,2539.0,2001.2
2001,2,MN,87985,1598454,5.5,1598.0,2001.2
2001,2,MO,102111,1982835,5.15,1983.0,2001.2
2001,2,MS,54441,816699,6.67,817.0,2001.2
2001,2,MT,19075,317731,6.0,318.0,2001.2
2001,2,NC,180818,2778675,6.51,2779.0,2001.2
2001,2,ND,15655,273107,5.73,273.0,2001.2
2001,2,NE,28431,557758,5.1,558.0,2001.2
2001,2,NH,32525,293647,11.08,294.0,2001.2
2001,2,NJ,223196,2613816,8.54,2614.0,2001.2
2001,2,NM,34838,486902,7.16,487.0,2001.2
2001,2,NV,32684,450974,7.25,451.0,2001.2
2001,2,NY,595169,4835573,12.31,4836.0,2001.2
2001,2,OH,257824,3005613,8.58,3006.0,2001.2
2001,2,OK,57172,941709,6.07,942.0,2001.2
2001,2,OR,63823,1245800,5.12,1246.0,2001.2
2001,2,PA,276649,3332342,8.3,3332.0,2001.2
2001,2,RI,29559,256112,11.54,256.0,2001.2
2001,2,SC,86983,1324082,6.57,1324.0,2001.2
2001,2,SD,15464,242470,6.38,242.0,2001.2
2001,2,TN,131710,2089161,6.3,2089.0,2001.2
2001,2,TX,481209,6321756,7.61,6322.0,2001.2
2001,2,UT,34701,616353,5.63,616.0,2001.2
2001,2,VA,122541,2145339,5.71,2145.0,2001.2
2001,2,VT,17929,153590,11.67,154.0,2001.2
2001,2,WA,119427,2195186,5.44,2195.0,2001.2
2001,2,WI,93106,1507018,6.18,1507.0,2001.2
2001,2,WV,29497,541231,5.45,541.0,2001.2
2001,2,WY,12092,239975,5.04,240.0,2001.2
2001,3,AK,19494,186453,10.46,186.0,2001.3
2001,3,AL,98950,1405572,7.04,1406.0,2001.3
2001,3,AR,38215,638659,5.98,639.0,2001.3
2001,3,AZ,106083,1541259,6.88,1541.0,2001.3
2001,3,CA,857331,8008690,10.71,8009.0,2001.3
