Year,Month,State,Megawatthours,Cents/kWh,mkwh,Year_Month
2001,1,AK,206108,11.22,206.0,2001.1
2001,1,AL,3263403,6.33,3263.0,2001.1
2001,1,AR,1619065,6.88,1619.0,2001.1
2001,1,AZ,2062589,6.99,2063.0,2001.1
2001,1,CA,7235934,10.89,7236.0,2001.1
2001,1,CO,1421031,6.71,1421.0,2001.1
2001,1,CT,1299569,10.7,1300.0,2001.1
2001,1,DC,200794,7.16,201.0,2001.1
2001,1,DE,416649,7.61,417.0,2001.1
2001,1,FL,10457915,8.14,10458.0,2001.1
2001,1,GA,4840229,6.75,4840.0,2001.1
2001,1,HI,247576,16.94,248.0,2001.1
2001,1,IA,1197314,7.65,1197.0,2001.1
2001,1,ID,848622,5.21,849.0,2001.1
2001,1,IL,4276215,7.53,4276.0,2001.1
2001,1,IN,3398506,6.08,3399.0,2001.1
2001,1,KS,1085300,6.81,1085.0,2001.1
2001,1,KY,2920583,5.14,2921.0,2001.1
2001,1,LA,2453050,7.97,2453.0,2001.1
2001,1,MA,1814776,11.86,1815.0,2001.1
2001,1,MD,2782427,6.74,2782.0,2001.1
2001,1,ME,387254,12.96,387.0,2001.1
2001,1,MI,3177954,8.08,3178.0,2001.1
2001,1,MN,1810552,7.03,1811.0,2001.1
2001,1,MO,3233671,5.87,3234.0,2001.1
2001,1,MS,1758278,6.45,1758.0,2001.1
2001,1,MT,441088,6.44,441.0,2001.1
2001,1,NC,5555018,7.53,5555.0,2001.1
2001,1,ND,394149,5.6,394.0,2001.1
2001,1,NE,852994,5.26,853.0,2001.1
2001,1,NH,404881,13.52,405.0,2001.1
2001,1,NJ,2337549,9.62,2338.0,2001.1
2001,1,NM,481883,7.98,482.0,2001.1
2001,1,NV,756177,7.55,756.0,2001.1
2001,1,NY,4175334,13.89,4175.0,2001.1
2001,1,OH,5432959,7.59,5433.0,2001.1
2001,1,OK,1979737,6.53,1980.0,2001.1
2001,1,OR,2133258,5.68,2133.0,2001.1
2001,1,PA,5112702,8.74,5113.0,2001.1
2001,1,RI,257442,11.96,257.0,2001.1
2001,1,SC,3066259,7.36,3066.0,2001.1
2001,1,SD,376151,6.52,376.0,2001.1
2001,1,TN,4629247,6.11,4629.0,2001.1
2001,1,TX,11438570,7.68,11439.0,2001.1
2001,1,UT,584016,6.17,584.0,2001.1
2001,1,VA,4514030,6.84,4514.0,2001.1
2001,1,VT,208606,12.47,209.0,2001.1
2001,1,WA,3968130,4.95,3968.0,2001.1
2001,1,WI,1995253,7.46,1995.0,2001.1
2001,1,WV,1304381,5.9,1304.0,2001.1
2001,1,WY,250606,6.01,251.0,2001.1
2001,2,AK,175443,11.39,175.0,2001.2
2001,2,AL,2109814,6.66,2110.0,2001.2
2001,2,AR,1215750,7.11,1216.0,2001.2
2001,2,AZ,1790024,7.13,1790.0,2001.2
2001,2,CA,6126173,11.14,6126.0,2001.2
2001,2,CO,1158036,7.15,1158.0,2001.2
2001,2,CT,985469,10.23,985.0,2001.2
2001,2,DC,155062,6.9,155.0,2001.2
2001,2,DE,350371,7.8,350.0,2001.2
2001,2,FL,7891735,8.29,7892.0,2001.2
2001,2,GA,3397624,7.28,3398.0,2001.2
2001,2,HI,204313,16.73,204.0,2001.2
2001,2,IA,1000831,7.94,1001.0,2001.2
2001,2,ID,720679,5.36,721.0,2001.2
2001,2,IL,3346876,8.25,3347.0,2001.2
2001,2,IN,2503738,6.67,2504.0,2001.2
2001,2,KS,867337,7.09,867.0,2001.2
2001,2,KY,2052240,5.54,2052.0,2001.2
2001,2,LA,1869902,8.52,1870.0,2001.2
2001,2,MA,1491987,12.03,1492.0,2001.2
2001,2,MD,2214309,6.88,2214.0,2001.2
2001,2,ME,322891,12.84,323.0,2001.2
2001,2,MI,2512965,8.12,2513.0,2001.2
2001,2,MN,1627715,7.26,1628.0,2001.2
2001,2,MO,2726882,6.11,2727.0,2001.2
2001,2,MS,1299798,6.69,1300.0,2001.2
2001,2,MT,374377,6.46,374.0,2001.2
2001,2,NC,4136460,7.77,4136.0,2001.2
2001,2,ND,388929,5.75,389.0,2001.2
2001,2,NE,771159,5.6,771.0,2001.2
2001,2,NH,319132,13.02,319.0,2001.2
2001,2,NJ,2014652,9.34,2015.0,2001.2
2001,2,NM,425306,8.01,425.0,2001.2
2001,2,NV,603205,7.93,603.0,2001.2
2001,2,NY,3701674,13.93,3702.0,2001.2
2001,2,OH,4011779,7.87,4012.0,2001.2
2001,2,OK,1440974,6.76,1441.0,2001.2
2001,2,OR,1874702,5.81,1875.0,2001.2
2001,2,PA,4133944,9.01,4134.0,2001.2
2001,2,RI,218353,12.02,218.0,2001.2
2001,2,SC,2169510,7.49,2170.0,2001.2
2001,2,SD,343688,6.76,344.0,2001.2
2001,2,TN,3528141,6.23,3528.0,2001.2
2001,2,TX,8755310,8.02,8755.0,2001.2
2001,2,UT,535262,6.83,535.0,2001.2
2001,2,VA,3368694,7.24,3369.0,2001.2
2001,2,VT,187051,12.53,187.0,2001.2
2001,2,WA,3560284,5.51,3560.0,2001.2
2001,2,WI,1694668,7.67,1695.0,2001.2
2001,2,WV,988543,6.03,989.0,2001.2
2001,2,WY,213908,6.25,214.0,2001.2
2001,3,AK,161376,12.21,161.0,2001.3
2001,3,AL,1919162,7.38,1919.0,2001.3
2001,3,AR,1056675,7.42,1057.0,2001.3
2001,3,AZ,1690146,7.4,1690.0,2001.3
2001,3,CA,6527290,11.29,6527.0,2001.3
2001,3,CO,1159501,7.03,1160.0,2001.3
2001,3,CT,1054435,10.6,1054.0,2001.3
2001,3,DC,136367,6.65,136.0,2001.3
2001,3,DE,329686,7.93,330.0,2001.3
2001,3,FL,6793984,8.51,6794.0,2001.3
2001,3,GA,3084917,7.48,3085.0,2001.3
2001,3,HI,229724,16.58,230.0,2001.3
2001,3,IA,947845,8.06,948.0,2001.3
2001,3,ID,650393,5.41,650.0,2001.3
2001,3,IL,3226525,8.33,3227.0,2001.3
2001,3,IN,2407571,6.73,2408.0,2001.3
2001,3,KS,849560,7.44,850.0,2001.3
2001,3,KY,1914805,5.5,1915.0,2001.3
2001,3,LA,1570677,9.17,1571.0,2001.3
2001,3,MA,1628801,12.08,1629.0,2001.3
2001,3,MD,2119295,6.99,2119.0,2001.3
2001,3,ME,350322,12.64,350.0,2001.3
2001,3,MI,2656751,8.08,2657.0,2001.3
2001,3,MN,1476587,7.31,1477.0,2001.3
2001,3,MO,2312871,6.42,2313.0,2001.3
2001,3,MS,1080763,7.14,1081.0,2001.3
2001,3,MT,358423,6.35,358.0,2001.3
2001,3,NC,3535048,8.02,3535.0,2001.3
2001,3,ND,325569,5.86,326.0,2001.3
2001,3,NE,696928,5.7,697.0,2001.3
2001,3,NH,343675,13.08,344.0,2001.3
2001,3,NJ,1968493,9.79,1968.0,2001.3
2001,3,NM,386791,8.24,387.0,2001.3
2001,3,NV,572954,8.94,573.0,2001.3
2001,3,NY,3682958,13.58,3683.0,2001.3
2001,3,OH,4034498,7.99,4034.0,2001.3
2001,3,OK,1325776,7.45,1326.0,2001.3
2001,3,OR,1780770,5.91,1781.0,2001.3
2001,3,PA,4124787,9.29,4125.0,2001.3
2001,3,RI,240933,12.04,241.0,2001.3
2001,3,SC,1729480,7.76,1729.0,2001.3
2001,3,SD,312194,6.89,312.0,2001.3
2001,3,TN,2818070,6.32,2818.0,2001.3
2001,3,TX,7293281,8.39,7293.0,2001.3
2001,3,UT,501788,6.57,502.0,2001.3
2001,3,VA,3259745,7.49,3260.0,2001.3
2001,3,VT,179800,12.4,180.0,2001.3
2001,3,WA,3236920,5.71,3237.0,2001.3
2001,3,WI,1625655,7.78,1626.0,2001.3
2001,3,WV,918017,6.21,918.0,2001.3
2001,3,WY,216004,6.2,216.0,2001.3
2001,4,AK,155222,11.98,155.0,2001.4
2001,4,AL,1886082,7.34,1886.0,2001.4
2001,4,AR,954641,8.0,955.0,2001.4
2001,4,AZ,1404356,8.09,1404.0,2001.4
2001,4,CA,5395783,11.14,5396.0,2001.4
2001,4,CO,997275,7.46,997.0,2001.4
2001,4,CT,872418,10.87,872.0,2001.4
2001,4,DC,108247,6.68,108.0,2001.4
2001,4,DE,278407,8.25,278.0,2001.4
2001,4,FL,6919498,8.84,6919.0,2001.4
2001,4,GA,2948651,7.4,2949.0,2001.4
2001,4,HI,219727,16.19,220.0,2001.4
2001,4,IA,823620,8.66,824.0,2001.4
2001,4,ID,535517,5.51,536.0,2001.4
2001,4,IL,2760593,8.81,2761.0,2001.4
2001,4,IN,1934990,7.1,1935.0,2001.4
2001,4,KS,755467,7.58,755.0,2001.4
2001,4,KY,1611068,5.64,1611.0,2001.4
2001,4,LA,1614184,8.64,1614.0,2001.4
2001,4,MA,1340544,12.49,1341.0,2001.4
2001,4,MD,1795394,7.17,1795.0,2001.4
2001,4,ME,320698,12.32,321.0,2001.4
2001,4,MI,2185404,8.08,2185.0,2001.4
2001,4,MN,1266434,7.36,1266.0,2001.4
2001,4,MO,1936292,6.55,1936.0,2001.4
2001,4,MS,1072630,7.42,1073.0,2001.4
2001,4,MT,309581,6.31,310.0,2001.4
2001,4,NC,3341507,8.0,3342.0,2001.4
2001,4,ND,267264,6.28,267.0,2001.4
2001,4,NE,589692,6.01,590.0,2001.4
2001,4,NH,279614,13.93,280.0,2001.4
2001,4,NJ,1739082,9.9,1739.0,2001.4
2001,4,NM,334979,8.75,335.0,2001.4
2001,4,NV,569060,9.34,569.0,2001.4
2001,4,NY,3251181,13.44,3251.0,2001.4
2001,4,OH,3278867,8.38,3279.0,2001.4
2001,4,OK,1154237,7.71,1154.0,2001.4
2001,4,OR,1510451,6.05,1510.0,2001.4
2001,4,PA,3503667,9.38,3504.0,2001.4
