Year,Month,Value
2020,6,3113.74
2020,5,2919.61
2020,4,2762.03
2020,3,2634.71
2020,2,3248.38
2020,1,3258.16
2019,12,3169.58
2019,11,3095.08
2019,10,2966.66
2019,9,2977.92
2019,8,2895.65
2019,7,2994.05
2019,6,2893
2019,5,2858.08
2019,4,2913.41
2019,3,2828.16
2019,2,2794.29
2019,1,2655.89
2018,12,2620.05
2018,11,2770.3
2018,10,2824.11
2018,9,2946.96
2018,8,2905.97
2018,7,2842.28
2018,6,2802.5
2018,5,2753.1
2018,4,2715.57
2018,3,2776.85
2018,2,2785.59
2018,1,2885.77
2017,12,2771.01
2017,11,2695.86
2017,10,2657.88
2017,9,2589.55
2017,8,2565.02
2017,7,2570.48
2017,6,2547.65
2017,5,2509.48
2017,4,2473.84
2017,3,2489.07
2017,2,2452.25
2017,1,2402.11
2016,12,2385.86
2016,11,2299.91
2016,10,2273.03
2016,9,2291.44
2016,8,2311.07
2016,7,2289.7
2016,6,2216.83
2016,5,2204.54
2016,4,2224.17
2016,3,2177.01
2016,2,2059.3
2016,1,2076.34
2015,12,2226.63
2015,11,2247.69
2015,10,2182.78
2015,9,2095.17
2015,8,2194.61
2015,7,2249.8
2015,6,2255.49
2015,5,2277.03
2015,4,2270.13
2015,3,2258.59
2015,2,2274.45
2015,1,2225.06
2014,12,2243.08
2014,11,2219.83
2014,10,2091.98
2014,9,2147
2014,8,2114.44
2014,7,2123.36
2014,6,2094.55
2014,5,2036.68
2014,4,2016.2
2014,3,2022.05
2014,2,1984.31
2014,1,1997.48
2013,12,1988.87
2013,11,1962.03
2013,10,1888.3
2013,9,1847.46
2013,8,1830.88
2013,7,1831.54
2013,6,1777.46
2013,5,1804.91
2013,4,1731.89
2013,3,1708.2
2013,2,1670.13
2013,1,1648.28
2012,12,1588.26
2012,11,1553.05
2012,10,1593.69
2012,9,1599.28
2012,8,1561.93
2012,7,1521.75
2012,6,1478.71
2012,5,1496.39
2012,4,1544.96
2012,3,1552.77
2012,2,1523.17
2012,1,1471.16
2011,12,1412.58
2011,11,1389.94
2011,10,1367.03
2011,9,1326.53
2011,8,1341.48
2011,7,1503.93
2011,6,1462.21
2011,5,1518.54
2011,4,1517.93
2011,3,1496.7
2011,2,1530.56
2011,1,1493.29
2010,12,1452.33
2010,11,1404.86
2010,10,1373.44
2010,9,1317.05
2010,8,1276.94
2010,7,1269.91
2010,6,1274.37
2010,5,1322.13
2010,4,1408.13
2010,3,1357.25
2010,2,1288.42
2010,1,1329.47
2009,12,1318.34
2009,11,1289.58
2009,10,1266.28
2009,9,1240.07
2009,8,1199.48
2009,7,1114.17
2009,6,1100.88
2009,5,1081.91
2009,4,1019.79
2009,3,912.63
2009,2,972.96
2009,1,1051.09
2008,12,1070.27
2008,11,1065.82
2008,10,1146.93
2008,9,1426.16
2008,8,1499.69
2008,7,1465.57
2008,6,1571.59
2008,5,1660.78
2008,4,1635.67
2008,3,1581.32
2008,2,1640.96
2008,1,1674.75
2007,12,1805.71
2007,11,1785.18
2007,10,1889.38
2007,9,1841.11
2007,8,1793.77
2007,7,1871.83
2007,6,1863.33
2007,5,1863.18
2007,4,1815.65
2007,3,1756.66
2007,2,1820.34
2007,1,1803.94
2006,12,1799.61
2006,11,1766.94
2006,10,1732.22
2006,9,1665.16
2006,8,1618.53
2006,7,1587.8
2006,6,1583.56
2006,5,1633.34
2006,4,1656.92
2006,3,1660.2
2006,2,1647.33
2006,1,1653.35
2005,12,1644.24
2005,11,1605.54
2005,10,1534.19
2005,9,1581.08
2005,8,1598.25
2005,7,1603.76
2005,6,1584.83
2005,5,1554.03
2005,4,1534.19
2005,3,1584.92
2005,2,1603.64
2005,1,1588.39
2004,12,1615.71
2004,11,1569.16
2004,10,1500.5
2004,9,1509.01
2004,8,1473.34
2004,7,1497.01
2004,6,1531.01
2004,5,1495.22
2004,4,1545.67
2004,3,1537.79
2004,2,1574.39
2004,1,1567.88
2003,12,1503.36
2003,11,1459.01
2003,10,1439.59
2003,9,1411.33
2003,8,1374.37
2003,7,1383.8
2003,6,1378.97
2003,5,1307.76
2003,4,1241.56
2003,3,1178.45
2003,2,1172.09
2003,1,1264.11
2002,12,1274.43
2002,11,1286.82
2002,10,1208.62
2002,9,1229.29
2002,8,1294.81
2002,7,1286.37
2002,6,1445.18
2002,5,1539.01
2002,4,1585.61
2002,3,1654.5
2002,2,1587.21
2002,1,1650.72
2001,12,1661.31
2001,11,1632.71
2001,10,1553.36
2001,9,1502.18
2001,8,1702.31
2001,7,1739.8
2001,6,1784.26
2001,5,1832.95
2001,4,1724.52
2001,3,1725.57
2001,2,1904.36
2001,1,1955.73
2000,12,1961.16
2000,11,2029.42
2000,10,2048.41
2000,9,2166.95
2000,8,2204.07
2000,7,2185.58
2000,6,2174.23
2000,5,2120.64
2000,4,2187.3
2000,3,2159.89
2000,2,2097.16
2000,1,2165.36
