Year,Month,Price
2020,6,3113.74
2020,5,2919.61
2020,4,2761.98
2020,3,2652.39
2020,2,3277.31
2020,1,3278.2
2019,12,3176.75
2019,11,3104.9
2019,10,2977.68
2019,9,2982.16
2019,8,2897.5
2019,7,2996.11
2019,6,2890.17
2019,5,2854.71
2019,4,2903.8
2019,3,2803.98
2019,2,2754.86
2019,1,2607.39
2018,12,2567.31
2018,11,2723.23
2018,10,2785.46
2018,9,2901.5
2018,8,2857.82
2018,7,2793.64
2018,6,2754.35
2018,5,2701.49
2018,4,2653.63
2018,3,2702.77
2018,2,2705.16
2018,1,2789.8
2017,12,2664.34
2017,11,2593.61
2017,10,2557
2017,9,2492.84
2017,8,2456.22
2017,7,2454.1
2017,6,2433.99
2017,5,2395.35
2017,4,2359.31
2017,3,2366.82
2017,2,2329.91
2017,1,2275.12
2016,12,2246.63
2016,11,2164.99
2016,10,2143.02
2016,9,2157.69
2016,8,2170.95
2016,7,2148.9
2016,6,2083.89
2016,5,2065.55
2016,4,2075.54
2016,3,2021.95
2016,2,1904.42
2016,1,1918.6
2015,12,2054.08
2015,11,2080.62
2015,10,2024.81
2015,9,1944.41
2015,8,2039.87
2015,7,2094.14
2015,6,2099.29
2015,5,2111.94
2015,4,2094.86
2015,3,2079.99
2015,2,2082.2
2015,1,2028.18
2014,12,2054.27
2014,11,2044.57
2014,10,1937.27
2014,9,1993.23
2014,8,1961.53
2014,7,1973.1
2014,6,1947.09
2014,5,1889.77
2014,4,1864.26
2014,3,1863.52
2014,2,1817.04
2014,1,1822.36
2013,12,1807.78
2013,11,1783.54
2013,10,1720.03
2013,9,1687.17
2013,8,1670.09
2013,7,1668.68
2013,6,1618.77
2013,5,1639.84
2013,4,1570.7
2013,3,1550.83
2013,2,1512.31
2013,1,1480.4
2012,12,1422.29
2012,11,1394.51
2012,10,1437.82
2012,9,1443.42
2012,8,1403.45
2012,7,1359.78
2012,6,1323.48
2012,5,1341.27
2012,4,1386.43
2012,3,1389.24
2012,2,1352.49
2012,1,1300.58
2011,12,1243.32
2011,11,1226.42
2011,10,1207.22
2011,9,1173.88
2011,8,1185.31
2011,7,1325.19
2011,6,1287.29
2011,5,1338.31
2011,4,1331.51
2011,3,1304.49
2011,2,1321.12
2011,1,1282.62
2010,12,1241.53
2010,11,1198.89
2010,10,1171.58
2010,9,1122.08
2010,8,1087.28
2010,7,1079.8
2010,6,1083.36
2010,5,1125.06
2010,4,1197.32
2010,3,1152.05
2010,2,1089.16
2010,1,1123.58
2009,12,1110.38
2009,11,1088.07
2009,10,1067.66
2009,9,1044.55
2009,8,1009.73
2009,7,935.82
2009,6,926.12
2009,5,902.41
2009,4,848.15
2009,3,757.13
2009,2,805.23
2009,1,865.58
2008,12,877.56
2008,11,883.04
2008,10,968.8
2008,9,1216.95
2008,8,1281.47
2008,7,1257.33
2008,6,1341.25
2008,5,1403.22
2008,4,1370.47
2008,3,1316.94
2008,2,1354.87
2008,1,1378.76
2007,12,1479.22
2007,11,1463.39
2007,10,1539.66
2007,9,1497.12
2007,8,1454.62
2007,7,1520.71
2007,6,1514.19
2007,5,1511.14
2007,4,1463.64
2007,3,1406.95
2007,2,1444.8
2007,1,1424.16
2006,12,1416.42
2006,11,1388.64
2006,10,1363.38
2006,9,1317.74
2006,8,1287.15
2006,7,1260.24
2006,6,1253.17
2006,5,1290.01
2006,4,1302.17
2006,3,1293.74
2006,2,1276.65
2006,1,1278.73
2005,12,1262.07
2005,11,1237.37
2005,10,1191.96
2005,9,1225.92
2005,8,1224.27
2005,7,1222.24
2005,6,1202.25
2005,5,1178.28
2005,4,1164.43
2005,3,1194.9
2005,2,1199.63
2005,1,1181.41
2004,12,1199.21
2004,11,1168.94
2004,10,1117.21
2004,9,1117.66
2004,8,1088.94
2004,7,1105.85
2004,6,1132.76
2004,5,1102.78
2004,4,1133.36
2004,3,1123.98
2004,2,1143.36
2004,1,1132.52
2003,12,1080.64
2003,11,1049.9
2003,10,1038.73
2003,9,1019.44
2003,8,989.53
2003,7,992.54
2003,6,988
2003,5,935.96
2003,4,890.03
2003,3,846.63
2003,2,837.03
2003,1,895.84
2002,12,899.18
2002,11,909.93
2002,10,854.63
2002,9,867.81
2002,8,912.55
2002,7,903.59
2002,6,1014.02
2002,5,1079.25
2002,4,1111.93
2002,3,1153.79
2002,2,1100.67
2002,1,1140.21
2001,12,1144.93
2001,11,1129.68
2001,10,1076.59
2001,9,1044.64
2001,8,1178.5
2001,7,1204.45
2001,6,1238.71
2001,5,1270.37
2001,4,1189.84
2001,3,1185.85
2001,2,1305.75
2001,1,1335.63
2000,12,1330.93
2000,11,1378.04
2000,10,1390.14
2000,9,1468.05
2000,8,1485.46
2000,7,1473
2000,6,1461.96
2000,5,1418.48
2000,4,1461.36
2000,3,1442.21
2000,2,1388.87
2000,1,1425.59
