Year,Month,Infrastructure,Sewage and waste disposal,Sewage and dry waste,Sewage treatment plant,Line and pump station,Waste water,Waste water treatment plant,Water supply,Water treatment plant,Pump station
2000,12,797,13367,8711,2334,6120,4656,3242,9515,3557,504
2000,11,689,13439,8849,2393,6277,4590,3359,9904,3195,598
2000,10,926,13493,9113,2523,6395,4380,3085,10026,3155,743
2000,9,1048,13435,8980,2644,6207,4455,2986,9763,3204,553
2000,8,886,13543,9170,2632,6356,4372,3000,9816,3169,565
2000,7,865,13240,8879,2398,6394,4361,3073,8567,2738,557
2000,6,881,14777,9417,2808,6289,5360,3382,8885,2907,661
2000,5,521,14331,9505,3028,6283,4826,3177,10063,3239,606
2000,4,679,15831,10670,3224,7153,5161,3789,9449,2859,743
2000,3,915,14444,9735,3068,6290,4709,3319,9079,2962,745
2000,2,893,14259,9764,3157,6167,4495,3144,9652,2830,637
2000,1,861,14121,9543,3301,5937,4578,3165,9560,2962,588
2001,12,576,14428,9410,2095,6976,5019,4064,11878,4123,539
2001,11,531,15136,9914,2375,7309,5222,4133,11911,4452,564
2001,10,626,14136,9334,1977,7031,4802,3694,11256,4062,664
2001,9,695,13800,8479,2216,5992,5321,3942,12101,3959,1195
2001,8,906,14086,8812,2612,5889,5274,3946,11691,3970,811
2001,7,844,13605,8751,2682,5757,4854,3462,12349,4950,622
2001,6,801,14115,9270,2350,6683,4845,3545,12166,4346,670
2001,5,1308,14112,8789,2497,6023,5323,4110,11630,3907,803
2001,4,1003,14739,9023,2643,6146,5716,3832,11684,3870,850
2001,3,895,13874,8395,2562,5699,5479,3962,10895,3930,500
2001,2,1083,14295,9236,2407,6683,5059,3717,10022,3881,492
2001,1,829,13946,9262,2465,6489,4684,3414,9400,3348,498
2002,12,556,15129,9221,3031,6030,5909,4387,11873,4072,726
2002,11,469,14973,9264,2893,6062,5709,4197,11873,4087,799
2002,10,463,14850,9290,2860,6248,5559,4339,12208,3708,1075
2002,9,443,15412,9779,2550,7063,5633,4380,11945,3776,1308
2002,8,572,15399,9891,2545,7210,5508,4127,11398,3639,972
2002,7,491,15396,10067,2868,6912,5328,4060,11352,3493,984
2002,6,604,15056,10123,2497,7446,4932,3886,11930,3652,990
2002,5,630,15372,10427,2519,7769,4945,4138,12770,4086,740
2002,4,591,15423,10492,2460,7888,4931,4250,11395,3968,781
2002,3,518,15361,10505,2532,7776,4856,4114,11132,3814,640
2002,2,644,16042,10344,2989,7180,5698,4586,11340,3748,692
2002,1,610,15460,10094,2345,7491,5366,4469,10997,3830,515
2003,12,835,16786,10623,3069,7455,6163,4742,11546,4139,574
2003,11,853,16282,10097,2776,7173,6186,4319,11735,4159,623
2003,10,453,16321,10489,2853,7354,5831,4438,11388,4451,616
2003,9,750,16025,10296,2858,7258,5730,4483,11491,4107,685
2003,8,655,15736,10113,2697,7204,5624,4309,12133,4436,866
2003,7,708,15679,9708,2399,7169,5971,4502,11741,4252,836
2003,6,547,15411,9402,2636,6600,6009,4560,11910,4450,697
2003,5,583,14783,9005,2574,6303,5779,4398,11658,4434,821
2003,4,506,15113,9309,2975,6236,5804,4413,11413,4425,946
2003,3,573,14603,9371,2610,6635,5232,4038,11872,4391,913
2003,2,302,15282,9624,2625,6925,5658,4174,12137,4260,955
2003,1,500,15073,9418,2626,6715,5655,4313,11811,4152,672
2004,12,1156,16783,10355,2770,7417,6429,5079,11547,4686,910
