description,Jan-01,Feb-01,Mar-01,Apr-01,May-01,Jun-01,Jul-01,Aug-01,Sep-01,Oct-01,Nov-01,Dec-01,Jan-02,Feb-02,Mar-02,Apr-02,May-02,Jun-02,Jul-02,Aug-02,Sep-02,Oct-02,Nov-02,Dec-02,Jan-03,Feb-03,Mar-03,Apr-03,May-03,Jun-03,Jul-03,Aug-03,Sep-03,Oct-03,Nov-03,Dec-03,Jan-04,Feb-04,Mar-04,Apr-04,May-04,Jun-04,Jul-04,Aug-04,Sep-04,Oct-04,Nov-04,Dec-04,Jan-05,Feb-05,Mar-05,Apr-05,May-05,Jun-05,Jul-05,Aug-05,Sep-05,Oct-05,Nov-05,Dec-05,Jan-06,Feb-06,Mar-06,Apr-06,May-06,Jun-06,Jul-06,Aug-06,Sep-06,Oct-06,Nov-06,Dec-06,Jan-07,Feb-07,Mar-07,Apr-07,May-07,Jun-07,Jul-07,Aug-07,Sep-07,Oct-07,Nov-07,Dec-07,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20
Transportation : United States,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,604,547,574,519,546,547,570,591,586,581,549,595,631,624,576,573,570,583,627,610,614,599,570,647,687,655,618,590,562,620,615,667,635,610,587,660,649,615,636,587,577,609,627,630,615,602,582,627,766,719,743,646,611,665,675,673,687,652,673,663,694,660,630,614,594,620,649,649,629,637,611,666,769,671,677,613,601,613,666,647,636,600,590,685,709,682,651,595,600,653,661,622,633,610,601,694,710,637,664,629,619,643,650,625,634,616,590,656,650,629,597,590,595,597,629,633,613,599,569,619,664,659,644,630,627,638,649,645,626,591,574,679,712,700,648,640,646,609,645,642,628,625,637,626,673,699,679,620,609,609,648,625,615,636,604,619,660,646,609,595,581,631,648,631,637,613,592,653,667,635,645,589,583,628,630,640,618,626,598,664,745,634,620,599,587,623,634,680,640,631,616,655,673,702,689,614,611,612,646,657,681,546,618,650,714,621,604,451
Transportation : New England,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,43,41,37,37,37,34,38,39,43,42,47,60,54,53,49,46,46,50,48,46,46,45,54,58,51,55,43,41,53,49,50,45,46,46,56,54,49,52,44,46,40,52,45,44,44,44,49,51,53,64,47,45,46,48,48,45,47,49,57,48,47,47,41,42,39,42,48,32,46,41,49,57,47,48,45,41,40,46,44,44,41,40,52,53,49,48,46,44,46,45,46,48,44,44,55,57,51,50,47,43,47,46,45,46,43,47,46,50,51,47,44,48,44,47,50,44,45,47,49,56,50,51,45,48,44,47,50,43,46,44,52,55,47,47,50,56,41,47,43,40,43,42,47,56,53,54,49,43,44,49,45,47,42,42,47,49,48,49,45,41,45,45,45,47,42,44,52,48,51,53,39,42,45,45,48,43,45,44,51,52,44,47,42,43,43,47,59,44,44,43,50,46,47,60,40,45,38,45,47,43,43,44,50,50,45,43,35
Transportation : Connecticut,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,18,16,14,15,16,13,16,16,17,16,19,18,17,16,15,16,15,17,16,15,15,13,16,17,15,16,12,10,22,18,17,14,15,15,18,16,13,15,13,14,11,20,15,15,14,14,16,14,17,27,15,13,15,16,16,15,16,17,17,16,16,17,15,17,13,15,21,6,20,15,18,20,16,15,17,13,13,17,14,17,14,13,18,15,16,15,16,14,16,13,15,18,14,14,19,18,16,16,16,13,17,14,14,17,14,17,13,15,19,15,15,18,15,15,18,15,16,16,15,19,16,15,15,18,14,15,19,14,16,14,15,15,12,11,14,26,12,16,12,12,14,11,13,19,17,17,18,13,15,18,15,18,13,13,16,14,15,16,15,13,17,15,15,18,13,15,16,13,18,18,9,13,15,14,17,14,16,14,15,15,13,13,12,14,14,16,28,16,15,11,16,10,14,27,11,16,10,16,17,15,13,14,16,16,14,13,8
Transportation : Maine,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation : Massachusetts,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,25,25,22,22,21,21,23,23,26,26,28,42,37,37,34,31,30,33,32,30,30,32,38,41,36,39,31,31,30,32,33,31,31,31,38,38,36,37,31,32,29,31,30,29,30,30,34,37,36,37,33,32,31,32,32,30,32,32,40,32,31,30,26,25,26,27,26,25,26,26,31,37,31,33,28,27,27,29,29,26,27,27,34,35,31,31,27,28,28,29,29,27,28,28,34,37,32,32,28,28,28,30,29,27,27,28,31,32,30,30,28,28,28,30,30,27,27,29,32,34,32,33,28,28,28,30,29,27,28,29,35,37,33,33,33,27,27,29,28,27,27,28,31,35,34,34,29,27,27,29,28,27,27,27,29,33,31,30,28,26,26,28,28,26,26,27,34,33,30,33,28,27,27,28,28,26,27,28,33,35,29,32,28,27,27,29,29,26,27,29,31,34,30,31,27,27,26,28,28,26,27,28,32,31,29,28,26
Transportation : New Hampshire,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation : Rhode Island,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2
Transportation : Vermont,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transportation : Middle Atlantic,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,324,298,300,278,290,282,301,305,309,301,289,322,317,319,277,298,287,307,322,326,329,321,304,356,351,360,333,316,302,326,348,346,350,331,323,340,345,338,333,312,296,331,333,334,328,320,311,332,428,422,426,341,342,367,371,373,393,366,384,353,360,355,326,322,316,337,343,345,342,347,336,353,422,374,373,325,321,325,369,346,349,322,322,375,377,390,338,314,320,352,362,329,335,329,323,363,383,343,357,348,332,343,345,332,340,340,302,364,357,338,321,321,308,313,335,336,331,327,291,333,338,357,339,330,318,340,331,326,340,304,298,358,360,372,343,319,329,310,321,322,331,318,342,317,333,345,382,295,311,312,329,312,311,337,308,322,333,343,309,298,287,333,332,327,336,312,317,318,355,333,330,311,289,319,314,315,320,314,301,328,441,321,325,309,297,317,316,341,337,320,315,330,352,371,332,309,285,308,313,316,314,290,303,314,326,299,288,206
Transportation : New Jersey,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,13,15,13,12,13,10,14,21,18,17,21,30,25,23,20,19,18,20,18,29,28,28,31,27,24,26,22,22,24,25,30,26,24,22,27,28,24,26,24,24,25,24,26,23,24,23,22,26,27,31,24,22,23,24,23,22,24,24,23,29,26,26,24,23,24,23,23,28,24,24,29,29,32,27,28,26,25,25,27,25,25,24,27,32,30,28,26,25,25,27,26,27,24,24,27,29,34,28,26,23,27,27,27,25,25,24,16,25,25,24,25,24,25,25,25,24,23,22,20,22,24,25,23,26,43,23,22,30,20,21,23,28,30,29,27,25,22,26,25,24,25,20,21,27,28,28,24,24,25,26,24,21,27,24,25,27,27,25,24,25,25,26,26,25,23,23,26,27,25,27,25,23,25,26,27,25,25,24,27,31,26,27,25,24,26,26,26,24,25,24,25,27,26,26,25,24,26,26,23,26,24,23,24,26,22,25,20
